"","age","Mspline_tlcoSI_Male","Mspline_tlcoSI_Female","Mspline_kcoSI_Male","Mspline_kcoSI_Female","Mspline_vaSI_Male","Mspline_vaSI_Female","Mspline_tlcoTr_Male","Mspline_tlcoTr_Female","Mspline_kcoTr_Male","Mspline_kcoTr_Female"
"57",19,0.092332911867322,0.0447484329252186,0.0523646344595226,0.0119718800580331,0.0361111941172432,0.0417279818126808,0.0923329100121038,0.0447484340602413,0.0523646157424498,0.0119718805658131
"58",19.25,0.0954263216193354,0.0462567046467752,0.0537397578468664,0.0123064553554637,0.0378504727133713,0.0428325419003119,0.095426319716756,0.0462567057667167,0.0537397392161543,0.0123064558438148
"59",19.5,0.0983442562775494,0.0476997541554223,0.0550205201323668,0.012625529092424,0.0395147046609257,0.0438726548725867,0.0983442543343545,0.0476997552602523,0.055020501590787,0.0126255295622295
"60",19.75,0.101089881823752,0.0490789190363072,0.05620943880316,0.0129287637208213,0.0411044831556566,0.0448522986217146,0.101089879846524,0.0490789201260382,0.0562094203531096,0.0129287641730063
"61",20,0.103666314908871,0.0503954778253579,0.0573089441491597,0.0132158246822809,0.0426204366343672,0.0457752912473506,0.103666312904036,0.0503954789000458,0.0573089257926904,0.0132158251178183
"62",20.25,0.106076991232383,0.0516506895257862,0.0583215502926944,0.0134864313277672,0.0440633907827586,0.0466452083199052,0.106076989206174,0.0516506905855234,0.058321532031536,0.0134864317476726
"63",20.5,0.108326719020836,0.0528459633310954,0.0592503360408871,0.0137405897301921,0.0454348396059103,0.0474649729853898,0.108326716979168,0.0528459643760035,0.059250317876486,0.0137405901354466
"64",20.75,0.110420480646784,0.0539827114009759,0.0600984060407614,0.0139783835848459,0.0467364019365011,0.048237239057995,0.110420478595235,0.0539827124311962,0.0600983879743029,0.0139783839763794
"65",21,0.112363059685272,0.0550623029650188,0.0608687253387439,0.0141999066815579,0.0479696502012139,0.0489645193753443,0.112363057629101,0.0550623039807174,0.060868707371168,0.0141999070602541
"66",21.25,0.114159385051012,0.0560860687196021,0.0615642785734796,0.0144052657385476,0.0491362622163773,0.0496491872118181,0.114159382995147,0.0560860697209611,0.0615642607055054,0.0144052661052418
"67",21.5,0.115814776972488,0.0570553103665095,0.0621881838662319,0.0145945905964422,0.0502381298825849,0.0502934638166774,0.115814774921486,0.0570553113537269,0.0621881660983727,0.0145945909519201
"68",21.75,0.117333966640585,0.0579712930291469,0.0627432510355526,0.0147680207082992,0.0512769158678026,0.0508994488831682,0.117333964598688,0.0579712940024404,0.0627432333681277,0.0147680210533041
"69",22,0.11872146971557,0.0588352438293365,0.0632321540378107,0.0149257003862133,0.05225421840988,0.0514691346507519,0.118721467686717,0.0588352447889333,0.0632321364709596,0.0149257007214372
"70",22.25,0.119981632301304,0.0596483533485577,0.0636574550827143,0.0150677782276114,0.053171588501062,0.0520044124427343,0.119981630289155,0.0596483542947039,0.0636574376164067,0.0150677785537088
"71",22.5,0.121118685744364,0.0604117771158021,0.0640216342844608,0.015194406728027,0.0540305487515607,0.0525070793178735,0.121118683752312,0.0604117780487492,0.0640216169185086,0.0151944070456125
"72",22.75,0.122136651413461,0.0611266367497203,0.0643270416842494,0.0153057415273894,0.0548325585683749,0.0529788426006288,0.122136649444641,0.0611266376697355,0.0643270244183185,0.0153057418370395
"73",23,0.123039180924154,0.0617940211493799,0.0645758146507802,0.015401940856667,0.0555789579514965,0.0534213246846083,0.123039178981475,0.0617940220567421,0.0645757974843897,0.0154019411589239
"74",23.25,0.123829850554174,0.062414973563266,0.0647700343270881,0.0154831453512689,0.0562710677453495,0.0538360960364042,0.123829848640317,0.0624149744582594,0.0647700172596259,0.0154831456466429
"75",23.5,0.1245125549819,0.0629904840071021,0.0649119347415819,0.015549465454705,0.056910323499217,0.0542246967513371,0.124512553099324,0.0629904848900225,0.0649119177723265,0.0155494657436783
"76",23.75,0.125091141401377,0.0635217334092673,0.0650037104118018,0.0156013210420003,0.0574981499616261,0.054588152460175,0.125091139552312,0.0635217342804131,0.0650036935399347,0.0156013213250059
"77",24,0.125569298269154,0.0640099651575659,0.0650474584790084,0.0156392599581427,0.0580359225311415,0.0549272387920894,0.125569296455615,0.0640099660172284,0.0650474417036215,0.015639260235556
"78",24.25,0.125950864691394,0.0644564047387233,0.065045343212796,0.015663843916899,0.0585250722027837,0.0552426485772024,0.125950862915185,0.0644564055871903,0.0650453265329087,0.0156638441890333
"79",24.5,0.126240353903849,0.0648622860167265,0.0649998736576745,0.0156756836489573,0.0589672635803247,0.055534944304954,0.126240352166526,0.0648622868542796,0.0649998570722676,0.0156756839160694
"80",24.75,0.126441707228016,0.0652287756617902,0.0649132455152435,0.01567533166924,0.0593639694717112,0.0558047153451255,0.126441705530926,0.0652287764887047,0.0649132290232508,0.0156753319315319
"81",25,0.126558726027548,0.0655569984867128,0.0647875699351648,0.0156633162639026,0.0597166182229394,0.0560525317394305,0.126558724371826,0.0655569993032588,0.0647875535354765,0.015663316521521
"82",25.25,0.126595030843481,0.065848040891173,0.0646248526752213,0.0156401449285255,0.0600265792668253,0.0562789418093885,0.126595029230076,0.0658480416976124,0.0646248363666886,0.015640145181572
"83",25.5,0.126554088227032,0.0661029502610253,0.0644270098735844,0.015606302204747,0.0602951706696935,0.0564844777079916,0.126554086656709,0.0661029510576157,0.0644269936550192,0.0156063024532767
"84",25.75,0.126439216937788,0.0663227374505002,0.0641958712762722,0.0155622519307221,0.0605236617455205,0.0566696544051979,0.126439215411143,0.0663227382374973,0.0641958551464521,0.0155622521747469
"85",26,0.126253594509636,0.0665083782790354,0.063933184046304,0.015508438136556,0.0607132752670765,0.0568349705749132,0.126253593027103,0.0665083790566863,0.0639331680039752,0.0155084383760444
